model,MATRCLOTest,CRUH,CRUSH,HUST,MATRPrimaryTest,MATRSecondaryTest,MIX100,SNL
discharge_model,102.4612,62.8380,3061.8633,264.0398,139.9310,107.0937,377.9032,193.4688
dummy,233.1505,229.3966,288.7187,341.1931,238.9885,413.8058,415.8554,426.8927
full_model,97.8397,66.6487,214.3734,269.7368,113.4461,1030.0461,210.1961,581.8465
gpr,156.2820,88.4837,21145291867.7107,14674.1869,108.5488,174.4387,52030002.8335,177.7177
pcr,125.7592,55.5223,267.7026,364.4050,83.9764,138.1236,266.9751,140.3788
plsr,115.3511,53.5910,270.4625,349.3118,73.9635,130.2784,238.6473,168.1144
rf,114.1485,61.4989,206.0905,344.7305,105.7938,162.1602,135.6522,397.2418
ridge,114.5485,54.2742,342512.1098,14665.8385,80.4132,127.1439,262.9541,173.9175
variance_model,132.9851,82.4505,271.3064,319.1912,109.0649,136.3419,345.2335,222.6990
xgb,123.9383,78.4350,186.4888,324.6450,155.5015,660.8236,136.3445,373.5280
mlp,92.7972±0.0000,69.1256±0.0000,276.2911±0.0000,354.0081±0.0000,94.4754±0.0000,201.3071±0.0000,219.7968±0.0000,316.2845±0.0000
lstm,127.9668±0.0000,81.0864±0.0000,236.7578±0.0000,347.5691±0.0000,76.4970±0.0000,182.1652±0.0000,150.7121±0.0000,340.6336±0.0000
transformer,100.2929±0.0000,59.8768±0.0000,299.2426±0.0000,340.2634±0.0000,64.3315±0.0000,138.6249±0.0000,158.1483±0.0000,247.2637±0.0000
cnn,,123.8008±0.0000,,,49.7221±0.0000,134.5508±0.0000,,533.0221±0.0000
